video_name,file_name,video_length,file_path
Federal vs State Jurisdiction in the US,Federal vs State Jurisdiction in the US.mp4,160.381,./videos/Federal vs State Jurisdiction in the US.mp4
Positive Laws and Statutory Interpretation,Positive Laws and Statutory Interpretation.mp4,295.776,./videos/Positive Laws and Statutory Interpretation.mp4
How To Write A Case Brief or Case Outline for Law School (With An Example),How To Write A Case Brief or Case Outline for Law School (With An Example).mp4,608.944,./videos/How To Write A Case Brief or Case Outline for Law School (With An Example).mp4
Why Do We Need Law or Laws in Society_,Why Do We Need Law or Laws in Society_.mp4,353.501,./videos/Why Do We Need Law or Laws in Society_.mp4
Legal Terms and Terminology,Legal Terms and Terminology.mp4,240.699,./videos/Legal Terms and Terminology.mp4
Civil Law vs Criminal Law Explained,Civil Law vs Criminal Law Explained.mp4,174.847,./videos/Civil Law vs Criminal Law Explained.mp4
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,What is Law About_ Exploring the Definition of Law vs Ethics and Morality.mp4,352.41,./videos/What is Law About_ Exploring the Definition of Law vs Ethics and Morality.mp4
Classification of Law - Criminal vs Civil Law and Public vs Private Law,Classification of Law - Criminal vs Civil Law and Public vs Private Law.mp4,184.042,./videos/Classification of Law - Criminal vs Civil Law and Public vs Private Law.mp4
The UK Court System Explained _ How the UK Court System Works,The UK Court System Explained _ How the UK Court System Works.mp4,212.115,./videos/The UK Court System Explained _ How the UK Court System Works.mp4
The US Court System Explained _ How the United States Court System Works,The US Court System Explained _ How the United States Court System Works.mp4,388.122,./videos/The US Court System Explained _ How the United States Court System Works.mp4
Court Jurisdiction in the United States,Court Jurisdiction in the United States.mp4,535.267,./videos/Court Jurisdiction in the United States.mp4
Common Law and Stare Decisis in the US and UK,Common Law and Stare Decisis in the US and UK.mp4,311.194,./videos/Common Law and Stare Decisis in the US and UK.mp4
Introduction to Anglo-American Law (US and UK),Introduction to Anglo-American Law (US and UK).mp4,263.501,./videos/Introduction to Anglo-American Law (US and UK).mp4
